k,theta,eyevectorX,eyevectorY,eyevectorZ,truthvectorX,truthvectorY,truthvectorZ
1,1.28527,-0.3789866,0.4159016,0.8266771,-9.817966,9.950313,20.64454
1,1.26145,-0.3793567,0.4156658,0.826626,-9.817904,9.950325,20.64491
1,1.216275,-0.3798797,0.4150739,0.8266831,-9.817961,9.950317,20.64494
1,1.186137,-0.3803519,0.4147819,0.8266126,-9.817904,9.950299,20.6453
1,1.120649,-0.3815052,0.414224,0.8263609,-9.817814,9.950236,20.64583
1,1.113115,-0.3816415,0.4141543,0.8263328,-9.817819,9.950128,20.64622
1,1.093785,-0.3819821,0.4139807,0.8262625,-9.817818,9.950018,20.64628
1,1.075746,-0.3824337,0.4139071,0.8260904,-9.817648,9.949917,20.64679
1,1.058324,-0.3826215,0.4136723,0.8261211,-9.817499,9.949848,20.64688
1,1.037032,-0.3827901,0.4133385,0.8262101,-9.81738,9.949732,20.64704
1,1.032682,-0.3827565,0.4132257,0.8262821,-9.81693,9.94964,20.64824
1,1.036277,-0.3825907,0.4131975,0.8263729,-9.816598,9.949524,20.64915
1,1.057954,-0.3822902,0.4134365,0.8263925,-9.81619,9.9492,20.65069
1,1.126917,-0.3813416,0.4142317,0.8264325,-9.816104,9.949241,20.65085
1,1.155891,-0.3809713,0.4145833,0.826427,-9.816101,9.949113,20.65082
1,1.202033,-0.3804885,0.4152242,0.8263277,-9.815972,9.949114,20.65134
1,1.250701,-0.380117,0.4159926,0.8261121,-9.815894,9.949226,20.65179
1,1.268103,-0.3799464,0.4162489,0.8260615,-9.815788,9.949208,20.65204
1,1.29074,-0.3799016,0.4166884,0.8258605,-9.816225,9.949277,20.65011
1,1.293163,-0.379908,0.4167428,0.8258301,-9.816339,9.949351,20.64997
1,1.289678,-0.3800353,0.4167624,0.8257617,-9.816594,9.9496,20.6495
1,1.289223,-0.3803636,0.4169664,0.8255075,-9.816793,9.949759,20.64898
1,1.276716,-0.380897,0.4170255,0.8252316,-9.816931,9.94947,20.64855
1,1.270724,-0.3812674,0.4170421,0.8250522,-9.817079,9.947392,20.64805
1,1.262691,-0.3815014,0.4169598,0.8249856,-9.817177,9.94597,20.64788
1,1.247254,-0.3819726,0.4168466,0.8248248,-9.81726,9.944247,20.64776
1,1.255697,-0.3821072,0.4169621,0.8247041,-9.817298,9.941092,20.6477
1,1.259587,-0.3823088,0.4170662,0.824558,-9.81728,9.939263,20.64793
1,1.266868,-0.3825013,0.4172319,0.8243847,-9.817276,9.937394,20.64805
1,1.26114,-0.3826908,0.4171144,0.8243564,-9.817121,9.934834,20.64864
1,1.244269,-0.3828905,0.4168336,0.8244056,-9.816999,9.9334,20.64929
1,1.236539,-0.3829431,0.4166565,0.8244707,-9.816885,9.931986,20.64998
1,1.224453,-0.3829781,0.4164112,0.8245784,-9.816899,9.930904,20.64983
1,1.224453,-0.3829368,0.416354,0.8246264,-9.816844,9.929953,20.64999
1,1.221733,-0.3827888,0.4162064,0.8247696,-9.816739,9.929062,20.65039
1,1.212085,-0.3829796,0.4160844,0.8247426,-9.816684,9.928338,20.65045
1,1.214665,-0.3828694,0.4160493,0.8248115,-9.816629,9.927382,20.65054
1,1.225252,-0.3826942,0.4161563,0.8248388,-9.816619,9.927112,20.65057
1,1.226369,-0.3827552,0.4161949,0.8247911,-9.816345,9.926922,20.65194
1,1.223333,-0.3829393,0.4162112,0.8246974,-9.816297,9.926555,20.65197
1,1.227326,-0.3828984,0.4162765,0.8246834,-9.81635,9.926843,20.65156
1,1.238279,-0.3828411,0.4164508,0.824622,-9.816387,9.92663,20.65134
1,1.252264,-0.3829701,0.4167551,0.8244084,-9.816445,9.926307,20.65115
1,1.262226,-0.3832397,0.417052,0.8241329,-9.816501,9.926185,20.65078
1,1.283899,-0.3831052,0.4173949,0.8240218,-9.816492,9.926152,20.65067
1,1.29679,-0.3830056,0.4175729,0.8239779,-9.816496,9.925841,20.65075
1,1.308358,-0.3829285,0.4177449,0.8239266,-9.816445,9.925557,20.6511
1,1.307161,-0.3830704,0.4177755,0.8238451,-9.816465,9.925443,20.65095
1,1.301911,-0.3832089,0.4177396,0.8237989,-9.81629,9.925722,20.6519
1,1.291346,-0.3835297,0.4176702,0.8236848,-9.816133,9.925876,20.65283
1,1.280847,-0.3839579,0.4176253,0.823508,-9.816086,9.925718,20.65333
1,1.255074,-0.3847361,0.4174152,0.8232512,-9.816034,9.925737,20.65369
1,1.222694,-0.3858048,0.417143,0.8228891,-9.815902,9.925846,20.6549
1,1.206583,-0.3864426,0.4170094,0.8226574,-9.815917,9.925687,20.65507
1,1.196813,-0.3867768,0.4169085,0.8225515,-9.815937,9.925748,20.65509
1,1.186962,-0.3872786,0.4168289,0.8223558,-9.815799,9.925668,20.65572
1,1.186797,-0.3874853,0.4168511,0.8222471,-9.815591,9.925657,20.65626
1,1.188444,-0.3875163,0.4168832,0.8222163,-9.815269,9.9258,20.65702
1,1.19124,-0.3874836,0.4169221,0.8222119,-9.815074,9.925776,20.65749
1,1.193374,-0.3872908,0.4169289,0.8222992,-9.814883,9.925962,20.65802
1,1.195504,-0.3870241,0.4169282,0.8224252,-9.814795,9.926114,20.65824
1,1.197793,-0.3868448,0.4169301,0.8225086,-9.814671,9.926131,20.65852
1,1.202684,-0.3865043,0.4169536,0.8226568,-9.814584,9.926168,20.65858
1,1.206096,-0.386466,0.4170101,0.8226461,-9.814611,9.926347,20.65819
1,1.205772,-0.3864183,0.4169908,0.8226783,-9.814509,9.926237,20.65846
1,1.207556,-0.3863371,0.4170113,0.822706,-9.814563,9.926439,20.65866
1,1.211923,-0.3862885,0.4170759,0.8226961,-9.814674,9.926624,20.65856
1,1.220932,-0.3862503,0.417224,0.8226389,-9.81473,9.926707,20.65837
1,1.225092,-0.386216,0.417291,0.822621,-9.814873,9.926859,20.65819
1,1.231465,-0.3861146,0.4173801,0.8226235,-9.814931,9.926918,20.658
1,1.244269,-0.3860767,0.4175949,0.8225322,-9.815072,9.927087,20.6577
1,1.247254,-0.3860629,0.4176441,0.8225138,-9.815102,9.927144,20.65776
1,1.244584,-0.3862272,0.4176411,0.8224382,-9.81522,9.927242,20.6575
1,1.240962,-0.3865243,0.4176359,0.8223012,-9.815254,9.927278,20.65758
1,1.241435,-0.3868063,0.4177057,0.8221331,-9.815431,9.927431,20.65701
1,1.247881,-0.3869023,0.4178308,0.8220243,-9.815437,9.927536,20.65715
1,1.26083,-0.3869323,0.4180423,0.8219027,-9.815235,9.927578,20.6581
1,1.26764,-0.386978,0.4181591,0.8218217,-9.815227,9.927657,20.65825
1,1.265168,-0.3870231,0.4181243,0.8218183,-9.815018,9.92769,20.65902
1,1.258499,-0.3870852,0.418018,0.8218431,-9.814912,9.92772,20.65952
1,1.252889,-0.3871045,0.4179236,0.821882,-9.814851,9.927743,20.65996
1,1.244112,-0.3871012,0.417784,0.8219545,-9.81486,9.92777,20.65984
1,1.236064,-0.3871565,0.4176537,0.8219947,-9.814755,9.927711,20.66035
1,1.230988,-0.3871346,0.4175587,0.8220533,-9.814689,9.9277,20.66064
1,1.228123,-0.3871074,0.4175038,0.822094,-9.814441,9.92769,20.66141
1,1.226848,-0.3870862,0.4174751,0.8221185,-9.814324,9.927656,20.66165
1,1.229874,-0.3870004,0.4175148,0.8221388,-9.81426,9.927676,20.66187
1,1.235589,-0.3868498,0.4175824,0.8221753,-9.81434,9.92764,20.66154
1,1.245527,-0.386582,0.4176999,0.8222415,-9.814137,9.927648,20.66209
1,1.273032,-0.3853513,0.4179156,0.8227095,-9.814249,9.927705,20.66164
1,1.288919,-0.3833546,0.4175877,0.8238081,-9.814228,9.927724,20.66179
1,1.292255,-0.383231,0.4176046,0.8238571,-9.814283,9.927685,20.66143
1,1.30176,-0.3825364,0.4174957,0.824235,-9.8142,9.927663,20.66185
