StartTime,NowTime,PathTime
9/18/2018 5:31:45 PM,9/18/2018 5:31:45 PM,00:04.9
9/18/2018 5:31:46 PM,9/18/2018 5:31:46 PM,00:04.9
9/18/2018 5:31:46 PM,9/18/2018 5:31:46 PM,00:05.0
9/18/2018 5:31:46 PM,9/18/2018 5:31:46 PM,00:05.0
9/18/2018 5:31:46 PM,9/18/2018 5:31:46 PM,00:05.0
9/18/2018 5:31:46 PM,9/18/2018 5:31:46 PM,00:05.1
9/18/2018 5:31:46 PM,9/18/2018 5:31:46 PM,00:05.1
9/18/2018 5:31:46 PM,9/18/2018 5:31:46 PM,00:05.1
9/18/2018 5:31:46 PM,9/18/2018 5:31:46 PM,00:05.1
9/18/2018 5:31:46 PM,9/18/2018 5:31:46 PM,00:05.1
9/18/2018 5:31:46 PM,9/18/2018 5:31:46 PM,00:05.1
9/18/2018 5:31:46 PM,9/18/2018 5:31:46 PM,00:05.2
9/18/2018 5:31:46 PM,9/18/2018 5:31:46 PM,00:05.2
9/18/2018 5:31:46 PM,9/18/2018 5:31:46 PM,00:05.2
9/18/2018 5:31:46 PM,9/18/2018 5:31:46 PM,00:05.2
9/18/2018 5:31:46 PM,9/18/2018 5:31:46 PM,00:05.2
9/18/2018 5:31:46 PM,9/18/2018 5:31:46 PM,00:05.2
9/18/2018 5:31:46 PM,9/18/2018 5:31:46 PM,00:05.2
9/18/2018 5:31:46 PM,9/18/2018 5:31:46 PM,00:05.3
9/18/2018 5:31:46 PM,9/18/2018 5:31:46 PM,00:05.3
9/18/2018 5:31:46 PM,9/18/2018 5:31:46 PM,00:05.3
9/18/2018 5:31:46 PM,9/18/2018 5:31:46 PM,00:05.3
9/18/2018 5:31:46 PM,9/18/2018 5:31:46 PM,00:05.3
9/18/2018 5:31:46 PM,9/18/2018 5:31:46 PM,00:05.4
9/18/2018 5:31:46 PM,9/18/2018 5:31:46 PM,00:05.4
9/18/2018 5:31:46 PM,9/18/2018 5:31:46 PM,00:05.4
9/18/2018 5:31:46 PM,9/18/2018 5:31:46 PM,00:05.4
9/18/2018 5:31:46 PM,9/18/2018 5:31:46 PM,00:05.5
9/18/2018 5:31:46 PM,9/18/2018 5:31:46 PM,00:05.5
9/18/2018 5:31:46 PM,9/18/2018 5:31:46 PM,00:05.5
9/18/2018 5:31:46 PM,9/18/2018 5:31:46 PM,00:05.5
9/18/2018 5:31:46 PM,9/18/2018 5:31:46 PM,00:05.6
9/18/2018 5:31:46 PM,9/18/2018 5:31:46 PM,00:05.6
9/18/2018 5:31:46 PM,9/18/2018 5:31:46 PM,00:05.6
9/18/2018 5:31:46 PM,9/18/2018 5:31:46 PM,00:05.6
9/18/2018 5:31:46 PM,9/18/2018 5:31:46 PM,00:05.7
9/18/2018 5:31:46 PM,9/18/2018 5:31:46 PM,00:05.7
9/18/2018 5:31:46 PM,9/18/2018 5:31:46 PM,00:05.7
9/18/2018 5:31:46 PM,9/18/2018 5:31:46 PM,00:05.7
9/18/2018 5:31:46 PM,9/18/2018 5:31:46 PM,00:05.7
9/18/2018 5:31:46 PM,9/18/2018 5:31:46 PM,00:05.8
9/18/2018 5:31:46 PM,9/18/2018 5:31:46 PM,00:05.8
9/18/2018 5:31:46 PM,9/18/2018 5:31:46 PM,00:05.8
9/18/2018 5:31:46 PM,9/18/2018 5:31:46 PM,00:05.8
9/18/2018 5:31:46 PM,9/18/2018 5:31:46 PM,00:05.9
9/18/2018 5:31:46 PM,9/18/2018 5:31:46 PM,00:05.9
9/18/2018 5:31:47 PM,9/18/2018 5:31:47 PM,00:05.9
9/18/2018 5:31:47 PM,9/18/2018 5:31:47 PM,00:06.0
9/18/2018 5:31:47 PM,9/18/2018 5:31:47 PM,00:06.0
9/18/2018 5:31:47 PM,9/18/2018 5:31:47 PM,00:06.0
9/18/2018 5:31:47 PM,9/18/2018 5:31:47 PM,00:06.0
9/18/2018 5:31:47 PM,9/18/2018 5:31:47 PM,00:06.0
9/18/2018 5:31:47 PM,9/18/2018 5:31:47 PM,00:06.1
9/18/2018 5:31:47 PM,9/18/2018 5:31:47 PM,00:06.2
9/18/2018 5:31:47 PM,9/18/2018 5:31:47 PM,00:06.3
9/18/2018 5:31:47 PM,9/18/2018 5:31:47 PM,00:06.4
9/18/2018 5:31:47 PM,9/18/2018 5:31:47 PM,00:06.4
9/18/2018 5:31:47 PM,9/18/2018 5:31:47 PM,00:06.4
9/18/2018 5:31:47 PM,9/18/2018 5:31:47 PM,00:06.5
9/18/2018 5:31:47 PM,9/18/2018 5:31:47 PM,00:06.5
9/18/2018 5:31:47 PM,9/18/2018 5:31:47 PM,00:06.5
9/18/2018 5:31:47 PM,9/18/2018 5:31:47 PM,00:06.5
9/18/2018 5:31:47 PM,9/18/2018 5:31:47 PM,00:06.5
9/18/2018 5:31:47 PM,9/18/2018 5:31:47 PM,00:06.6
9/18/2018 5:31:47 PM,9/18/2018 5:31:47 PM,00:06.6
9/18/2018 5:31:47 PM,9/18/2018 5:31:47 PM,00:06.6
9/18/2018 5:31:47 PM,9/18/2018 5:31:47 PM,00:06.6
9/18/2018 5:31:47 PM,9/18/2018 5:31:47 PM,00:06.6
9/18/2018 5:31:47 PM,9/18/2018 5:31:47 PM,00:06.7
9/18/2018 5:31:47 PM,9/18/2018 5:31:47 PM,00:06.7
9/18/2018 5:31:47 PM,9/18/2018 5:31:47 PM,00:06.7
9/18/2018 5:31:47 PM,9/18/2018 5:31:47 PM,00:06.7
9/18/2018 5:31:47 PM,9/18/2018 5:31:47 PM,00:06.7
9/18/2018 5:31:47 PM,9/18/2018 5:31:47 PM,00:06.8
9/18/2018 5:31:47 PM,9/18/2018 5:31:47 PM,00:06.8
9/18/2018 5:31:47 PM,9/18/2018 5:31:47 PM,00:06.8
9/18/2018 5:31:47 PM,9/18/2018 5:31:47 PM,00:06.8
9/18/2018 5:31:47 PM,9/18/2018 5:31:47 PM,00:06.8
9/18/2018 5:31:47 PM,9/18/2018 5:31:47 PM,00:06.9
9/18/2018 5:31:47 PM,9/18/2018 5:31:47 PM,00:06.9
9/18/2018 5:31:47 PM,9/18/2018 5:31:47 PM,00:06.9
9/18/2018 5:31:47 PM,9/18/2018 5:31:47 PM,00:06.9
9/18/2018 5:31:48 PM,9/18/2018 5:31:48 PM,00:06.9
9/18/2018 5:31:48 PM,9/18/2018 5:31:48 PM,00:06.9
9/18/2018 5:31:48 PM,9/18/2018 5:31:48 PM,00:07.0
9/18/2018 5:31:48 PM,9/18/2018 5:31:48 PM,00:07.0
9/18/2018 5:31:48 PM,9/18/2018 5:31:48 PM,00:07.0
9/18/2018 5:31:48 PM,9/18/2018 5:31:48 PM,00:07.0
9/18/2018 5:31:48 PM,9/18/2018 5:31:48 PM,00:07.0
9/18/2018 5:31:48 PM,9/18/2018 5:31:48 PM,00:07.1
9/18/2018 5:31:48 PM,9/18/2018 5:31:48 PM,00:07.1
9/18/2018 5:31:48 PM,9/18/2018 5:31:48 PM,00:07.1
9/18/2018 5:31:48 PM,9/18/2018 5:31:48 PM,00:07.1
9/18/2018 5:31:48 PM,9/18/2018 5:31:48 PM,00:07.2
9/18/2018 5:31:48 PM,9/18/2018 5:31:48 PM,00:07.2
9/18/2018 5:31:48 PM,9/18/2018 5:31:48 PM,00:07.3
9/18/2018 5:31:48 PM,9/18/2018 5:31:48 PM,00:07.3
9/18/2018 5:31:48 PM,9/18/2018 5:31:48 PM,00:07.4
